fg_mode,vf0,e0,porosity_name,porosity_mode,input_file
X,0.9,0.2,Even,1,cases/porous/Porous_CFFF_X_Vf0.9_e20_Even-30x30-10layer.txt
X,0.1,0.2,Uneven,2,cases/porous/Porous_CFFF_X_Vf0.1_e20_Uneven-30x30-10layer.txt
X,0.3,0.2,Uneven,2,cases/porous/Porous_CFFF_X_Vf0.3_e20_Uneven-30x30-10layer.txt
X,0.5,0.2,Uneven,2,cases/porous/Porous_CFFF_X_Vf0.5_e20_Uneven-30x30-10layer.txt
X,0.7,0.2,Uneven,2,cases/porous/Porous_CFFF_X_Vf0.7_e20_Uneven-30x30-10layer.txt
X,0.9,0.2,Uneven,2,cases/porous/Porous_CFFF_X_Vf0.9_e20_Uneven-30x30-10layer.txt
X,0.1,0.2,LogUneven,3,cases/porous/Porous_CFFF_X_Vf0.1_e20_LogUneven-30x30-10layer.txt
X,0.3,0.2,LogUneven,3,cases/porous/Porous_CFFF_X_Vf0.3_e20_LogUneven-30x30-10layer.txt
X,0.5,0.2,LogUneven,3,cases/porous/Porous_CFFF_X_Vf0.5_e20_LogUneven-30x30-10layer.txt
X,0.7,0.2,LogUneven,3,cases/porous/Porous_CFFF_X_Vf0.7_e20_LogUneven-30x30-10layer.txt
X,0.9,0.2,LogUneven,3,cases/porous/Porous_CFFF_X_Vf0.9_e20_LogUneven-30x30-10layer.txt
X,0.1,0.3,Even,1,cases/porous/Porous_CFFF_X_Vf0.1_e30_Even-30x30-10layer.txt
X,0.3,0.3,Even,1,cases/porous/Porous_CFFF_X_Vf0.3_e30_Even-30x30-10layer.txt
X,0.5,0.3,Even,1,cases/porous/Porous_CFFF_X_Vf0.5_e30_Even-30x30-10layer.txt
X,0.7,0.3,Even,1,cases/porous/Porous_CFFF_X_Vf0.7_e30_Even-30x30-10layer.txt
X,0.9,0.3,Even,1,cases/porous/Porous_CFFF_X_Vf0.9_e30_Even-30x30-10layer.txt
X,0.1,0.3,Uneven,2,cases/porous/Porous_CFFF_X_Vf0.1_e30_Uneven-30x30-10layer.txt
X,0.3,0.3,Uneven,2,cases/porous/Porous_CFFF_X_Vf0.3_e30_Uneven-30x30-10layer.txt
X,0.5,0.3,Uneven,2,cases/porous/Porous_CFFF_X_Vf0.5_e30_Uneven-30x30-10layer.txt
X,0.7,0.3,Uneven,2,cases/porous/Porous_CFFF_X_Vf0.7_e30_Uneven-30x30-10layer.txt
X,0.9,0.3,Uneven,2,cases/porous/Porous_CFFF_X_Vf0.9_e30_Uneven-30x30-10layer.txt
X,0.1,0.3,LogUneven,3,cases/porous/Porous_CFFF_X_Vf0.1_e30_LogUneven-30x30-10layer.txt
X,0.3,0.3,LogUneven,3,cases/porous/Porous_CFFF_X_Vf0.3_e30_LogUneven-30x30-10layer.txt
X,0.5,0.3,LogUneven,3,cases/porous/Porous_CFFF_X_Vf0.5_e30_LogUneven-30x30-10layer.txt
X,0.7,0.3,LogUneven,3,cases/porous/Porous_CFFF_X_Vf0.7_e30_LogUneven-30x30-10layer.txt
X,0.9,0.3,LogUneven,3,cases/porous/Porous_CFFF_X_Vf0.9_e30_LogUneven-30x30-10layer.txt
X,0.1,0.4,Even,1,cases/porous/Porous_CFFF_X_Vf0.1_e40_Even-30x30-10layer.txt
X,0.3,0.4,Even,1,cases/porous/Porous_CFFF_X_Vf0.3_e40_Even-30x30-10layer.txt
X,0.5,0.4,Even,1,cases/porous/Porous_CFFF_X_Vf0.5_e40_Even-30x30-10layer.txt
X,0.7,0.4,Even,1,cases/porous/Porous_CFFF_X_Vf0.7_e40_Even-30x30-10layer.txt
X,0.9,0.4,Even,1,cases/porous/Porous_CFFF_X_Vf0.9_e40_Even-30x30-10layer.txt
X,0.1,0.4,Uneven,2,cases/porous/Porous_CFFF_X_Vf0.1_e40_Uneven-30x30-10layer.txt
X,0.3,0.4,Uneven,2,cases/porous/Porous_CFFF_X_Vf0.3_e40_Uneven-30x30-10layer.txt
X,0.5,0.4,Uneven,2,cases/porous/Porous_CFFF_X_Vf0.5_e40_Uneven-30x30-10layer.txt
X,0.7,0.4,Uneven,2,cases/porous/Porous_CFFF_X_Vf0.7_e40_Uneven-30x30-10layer.txt
X,0.9,0.4,Uneven,2,cases/porous/Porous_CFFF_X_Vf0.9_e40_Uneven-30x30-10layer.txt
X,0.1,0.4,LogUneven,3,cases/porous/Porous_CFFF_X_Vf0.1_e40_LogUneven-30x30-10layer.txt
X,0.3,0.4,LogUneven,3,cases/porous/Porous_CFFF_X_Vf0.3_e40_LogUneven-30x30-10layer.txt
X,0.5,0.4,LogUneven,3,cases/porous/Porous_CFFF_X_Vf0.5_e40_LogUneven-30x30-10layer.txt
X,0.7,0.4,LogUneven,3,cases/porous/Porous_CFFF_X_Vf0.7_e40_LogUneven-30x30-10layer.txt
X,0.9,0.4,LogUneven,3,cases/porous/Porous_CFFF_X_Vf0.9_e40_LogUneven-30x30-10layer.txt
