theta_over_span,theta_rad,x_m,y_m,z_m,radial_displacement_mm
0.0,0.0,0.15,-0.0,0.4,-2.695818170544467E-44
0.1,0.07499999999999998,0.15,-0.02997188290909693,0.398875527244883,-0.007832869066983578
