artifact,declared_or_assumed_radius_m,actual_node_radius_m,arc_length_m,decision
discarded_original_20x20_template,0.4,0.6,0.3,excluded_from_mesh_convergence
regenerated_20x20_case,0.4,0.4,0.3,accepted_radius_audited
