mesh,mode,geometry,radius_m,curvature_1pm,load_case,load_value,load_unit,w_center_mm,electric_span,magnetic_span,theta_span_K,center_node_id,center_coord_1,center_coord_2,center_coord_3,case_file,status,abs_w_ratio_to_flat,electric_ratio_to_flat,magnetic_ratio_to_flat
10,X,cylinder,1,1,elastic,-15000,Pa,-1.75941167852037,295.59809923536,0.101808074985723,2.0457705598953,171,0.15,0.15,1,G:\fg-meet-workbench\cases\curvature_fg\10x10\Thermal_CFFF_X_Vf0.6_R1m-10x10-10layer.txt,completed_pilot_corrected_pyro,0.971465459012183,1.03755871843724,1.03755445905287
10,X,cylinder,1,1,electro,300,V,-0.048866980710411,25.8832596092561,0.00891458424852038,0.17913265349015,171,0.15,0.15,1,G:\fg-meet-workbench\cases\curvature_fg\10x10\Thermal_CFFF_X_Vf0.6_R1m-10x10-10layer.txt,completed_pilot_corrected_pyro,1.15314055567831,0.922487025160893,0.922486502296054
10,X,cylinder,1,1,magneto,200,A,0.351584156198435,186.222759359454,0.0641379216668724,1.2888089648642,171,0.15,0.15,1,G:\fg-meet-workbench\cases\curvature_fg\10x10\Thermal_CFFF_X_Vf0.6_R1m-10x10-10layer.txt,completed_pilot_corrected_pyro,1.15314055566739,0.922487025157785,0.922486502292947
10,X,cylinder,0.4,2.5,elastic,-15000,Pa,-1.66719612921614,296.502298191662,0.102117707145964,2.05201656532077,171,0.15,0.375,0.4,G:\fg-meet-workbench\cases\curvature_fg\10x10\Thermal_CFFF_X_Vf0.6_R0.4m-10x10-10layer.txt,completed_pilot_corrected_pyro,0.920548313226135,1.04073248549711,1.04071000667097
10,X,cylinder,0.4,2.5,electro,300,V,-0.0517234691137546,24.3687156196846,0.00839286336284197,0.168650222938993,171,0.15,0.375,0.4,G:\fg-meet-workbench\cases\curvature_fg\10x10\Thermal_CFFF_X_Vf0.6_R0.4m-10x10-10layer.txt,completed_pilot_corrected_pyro,1.22054665642025,0.868508229580003,0.868498513446865
10,X,cylinder,0.4,2.5,magneto,200,A,0.372135785348303,175.32604213209,0.0603842869081647,1.21339083085295,171,0.15,0.375,0.4,G:\fg-meet-workbench\cases\curvature_fg\10x10\Thermal_CFFF_X_Vf0.6_R0.4m-10x10-10layer.txt,completed_pilot_corrected_pyro,1.22054665642574,0.868508229581821,0.868498513448682
10,X,cylinder,0.3,3.33333333333333,elastic,-15000,Pa,-1.60072897433972,291.746450020417,0.100478179367589,2.01909217850195,171,0.15,0.5,0.3,G:\fg-meet-workbench\cases\curvature_fg\10x10\Thermal_CFFF_X_Vf0.6_R0.3m-10x10-10layer.txt,completed_pilot_corrected_pyro,0.883848235632266,1.02403930733932,1.02400112225848
10,X,cylinder,0.3,3.33333333333333,electro,300,V,-0.0516614356319644,24.0239955020809,0.0082740479419447,0.166263903344809,171,0.15,0.5,0.3,G:\fg-meet-workbench\cases\curvature_fg\10x10\Thermal_CFFF_X_Vf0.6_R0.3m-10x10-10layer.txt,completed_pilot_corrected_pyro,1.2190828188223,0.856222302668092,0.856203422729588
10,X,cylinder,0.3,3.33333333333333,magneto,200,A,0.371689471924303,172.845878022399,0.0595294434350431,1.19622193379847,171,0.15,0.5,0.3,G:\fg-meet-workbench\cases\curvature_fg\10x10\Thermal_CFFF_X_Vf0.6_R0.3m-10x10-10layer.txt,completed_pilot_corrected_pyro,1.21908281881907,0.856222302666539,0.856203422728036
10,X,cylinder,0.2,5,elastic,-15000,Pa,-1.42992740954247,275.865633649388,0.095004570604665,1.90915791273343,171,0.15,0.75,0.2,G:\fg-meet-workbench\cases\curvature_fg\10x10\Thermal_CFFF_X_Vf0.6_R0.2m-10x10-10layer.txt,completed_pilot_corrected_pyro,0.78953953996344,0.968297137398835,0.968218050239106
10,X,cylinder,0.2,5,electro,300,V,-0.0506613246867679,23.623965369741,0.008136016663706,0.163493700205956,171,0.15,0.75,0.2,G:\fg-meet-workbench\cases\curvature_fg\10x10\Thermal_CFFF_X_Vf0.6_R0.2m-10x10-10layer.txt,completed_pilot_corrected_pyro,1.19548266030384,0.841965110477933,0.8419198636179
10,X,cylinder,0.2,5,magneto,200,A,0.364493955491442,169.967773943416,0.0585363472835048,1.17629110282104,171,0.15,0.75,0.2,G:\fg-meet-workbench\cases\curvature_fg\10x10\Thermal_CFFF_X_Vf0.6_R0.2m-10x10-10layer.txt,completed_pilot_corrected_pyro,1.1954826603039,0.841965110478817,0.841919863618786
