mesh,mode,load_case,radius_m,w_center_mm,electric_span,magnetic_span,theta_span_K,center_coord_1,center_coord_2,center_coord_3,w_change_from_previous_pct,electric_change_from_previous_pct,magnetic_change_from_previous_pct,theta_change_from_previous_pct,status
10,U,elastic,0.4,-1.96038603166568,346.623194973928,0.136464061049065,2.31251397212067,0.15,0.375,0.4,,,,,radius_audited
20,U,elastic,0.4,-1.96027888869544,346.557519835588,0.136438163934697,2.31207571671752,0.15,0.375,0.4,0.005465700358138928,0.01895071801389711,0.018980843498016486,0.018955062759444353,radius_audited
30,U,elastic,0.4,-1.95949869888003,346.622268436725,0.136463645891229,2.31250766754393,0.15,0.375,0.4,0.039815786346578556,0.018679873462553277,0.0186730732317712,0.018678892722058124,radius_audited
10,U,electro,0.4,-0.0629773996387818,29.6008402790505,0.0116542838063416,0.197484854955448,0.15,0.375,0.4,,,,,radius_audited
20,U,electro,0.4,-0.0629536071384859,29.5968050720468,0.0116526967263405,0.197457937691709,0.15,0.375,0.4,0.037793704566535295,0.013633927695507234,0.013619851596349949,0.013631897534068217,radius_audited
30,U,electro,0.4,-0.0629667075868834,29.591095643392,0.0116504492917791,0.197419847791184,0.15,0.375,0.4,0.020805357147545445,0.01929441452119749,0.01929053983340341,0.019293855684305604,radius_audited
10,U,magneto,0.4,0.210401217053186,98.8934579098252,0.0389358009504644,0.659777222783318,0.15,0.375,0.4,,,,,radius_audited
20,U,magneto,0.4,0.210321728682308,98.8799766855149,0.0389304986744044,0.65968729488868,0.15,0.375,0.4,0.03779370366343793,0.01363392747671629,0.01361985137756796,0.01363189731478518,radius_audited
30,U,magneto,0.4,0.21036549596817,98.8609020519202,0.0389229902189389,0.65956004031732,0.15,0.375,0.4,0.02080535387258716,0.01929441589019752,0.01929054120268623,0.01929385705338792,radius_audited
10,X,elastic,0.4,-1.66719612921614,296.502298191662,0.102117707145964,2.05201656532077,0.15,0.375,0.4,,,,,radius_audited
20,X,elastic,0.4,-1.66717211609997,296.438092739603,0.102095587735699,2.05157217268436,0.15,0.375,0.4,0.0014403501556951438,0.021658974886001898,0.021665392947504622,0.02166107740818492,radius_audited
30,X,elastic,0.4,-1.66709368074891,296.43898313211,0.102095893057747,2.05157832606785,0.15,0.375,0.4,0.004704915624457025,0.0003003628259716296,0.00029905419194364814,0.0002999341244795498,radius_audited
10,X,electro,0.4,-0.0517234691137546,24.3687156196846,0.00839286336284197,0.168650222938993,0.15,0.375,0.4,,,,,radius_audited
20,X,electro,0.4,-0.0517024038346666,24.3660685914899,0.00839195196785077,0.168631905259906,0.15,0.375,0.4,0.04074332627813353,0.01086358344909941,0.010860345658459393,0.01086252275852925,radius_audited
30,X,electro,0.4,-0.0517016131644315,24.3649569824528,0.00839156917398971,0.168624212446806,0.15,0.375,0.4,0.0015292950968268588,0.00456232710732995,0.004561648162859457,0.004562104687329137,radius_audited
10,X,magneto,0.4,0.372135785348303,175.32604213209,0.0603842869081647,1.21339083085295,0.15,0.375,0.4,,,,,radius_audited
20,X,magneto,0.4,0.371984226608921,175.30699751159,0.0603777296785257,1.21325904032372,0.15,0.375,0.4,0.04074332418974709,0.01086358261241246,0.010860344822358826,0.010862521922341826,radius_audited
30,X,magneto,0.4,0.371978537971279,175.298999800129,0.0603749755853624,1.21320369271729,0.15,0.375,0.4,0.0015292918975980485,0.0045623257805922825,0.00456164683562188,0.004562103360074277,radius_audited
