mesh,mode,radius_m,curvature_1pm,load_case,w_center_mm,electric_span,magnetic_span,theta_span_K,center_node_id,center_coord_1,center_coord_2,center_coord_3,case_file,status,w_change_from_previous_pct,electric_change_from_previous_pct,magnetic_change_from_previous_pct,theta_change_from_previous_pct,mesh_gate_20_to_30
20,X,1,1,electro,-0.0488577228424693,25.8810115685984,0.00891381009799763,0.179117095982955,641,0.15,0.15,1,G:\fg-meet-workbench\cases\curvature_fg\20x20\Thermal_CFFF_X_Vf0.6_R1m-20x20-10layer.txt,completed_corrected_pyro,0.0189486275722391,0.0086860617937692,0.00868484423874974,0.00868566292325779,
30,X,1,1,electro,-0.0488588019006604,25.8801073240466,0.00891349869220523,0.179110838089724,1411,0.15,0.15,1,G:\fg-meet-workbench\cases\curvature_fg\30x30\Thermal_CFFF_X_Vf0.6_R1m-30x30-10layer.txt,completed_corrected_pyro,0.00220852364184608,0.00349397527790596,0.0034936426554155,0.00349386631079457,pass
10,X,1,1,magneto,0.351584156198435,186.222759359454,0.0641379216668724,1.2888089648642,171,0.15,0.15,1,G:\fg-meet-workbench\cases\curvature_fg\10x10\Thermal_CFFF_X_Vf0.6_R1m-10x10-10layer.txt,completed_pilot_corrected_pyro,NaN,NaN,NaN,NaN,
20,X,1,1,magneto,0.351517548443515,186.206585339436,0.064132351871678,1.28869703297723,641,0.15,0.15,1,G:\fg-meet-workbench\cases\curvature_fg\20x20\Thermal_CFFF_X_Vf0.6_R1m-20x20-10layer.txt,completed_corrected_pyro,0.0189486286573584,0.00868606230467163,0.00868484474973228,0.00868566343412887,
30,X,1,1,magneto,0.351525311947237,186.200079551983,0.0641301113938195,1.28865200918009,1411,0.15,0.15,1,G:\fg-meet-workbench\cases\curvature_fg\30x30\Thermal_CFFF_X_Vf0.6_R1m-30x30-10layer.txt,completed_corrected_pyro,0.00220851911886442,0.00349397673118494,0.00349364410852913,0.00349386776409526,pass
10,U,0.4,2.5,elastic,-1.96038603166568,346.623194973928,0.136464061049065,2.31251397212067,171,0.15,0.375,0.4,G:\fg-meet-workbench\cases\curvature_fg\10x10\Thermal_CFFF_U_Vf0.6_R0.4m-10x10-10layer.txt,completed_pilot_corrected_pyro,NaN,NaN,NaN,NaN,
20,U,0.4,2.5,elastic,-1.96027888869544,346.557519835588,0.136438163934697,2.31207571671752,641,0.15,0.375,0.4,G:\fg-meet-workbench\cases\curvature_fg\20x20\Thermal_CFFF_U_Vf0.6_R0.4m-20x20-10layer.txt,completed_corrected_pyro,0.00546570035813893,0.0189507180138971,0.0189808434980165,0.0189550627594444,
30,U,0.4,2.5,elastic,-1.96016404595863,346.560955799524,0.136439507897427,2.31209861850981,1411,0.15,0.375,0.4,G:\fg-meet-workbench\cases\curvature_fg\30x30\Thermal_CFFF_U_Vf0.6_R0.4m-30x30-10layer.txt,completed_corrected_pyro,0.00585883294037754,0.000991445769784496,0.000985024609610835,0.000990519699564482,pass
10,U,0.4,2.5,electro,-0.0629773996387818,29.6008402790505,0.0116542838063416,0.197484854955448,171,0.15,0.375,0.4,G:\fg-meet-workbench\cases\curvature_fg\10x10\Thermal_CFFF_U_Vf0.6_R0.4m-10x10-10layer.txt,completed_pilot_corrected_pyro,NaN,NaN,NaN,NaN,
20,U,0.4,2.5,electro,-0.0629536071384859,29.5968050720468,0.0116526967263405,0.197457937691709,641,0.15,0.375,0.4,G:\fg-meet-workbench\cases\curvature_fg\20x20\Thermal_CFFF_U_Vf0.6_R0.4m-20x20-10layer.txt,completed_corrected_pyro,0.0377937045665353,0.0136339276955072,0.0136198515963499,0.0136318975340682,
30,U,0.4,2.5,electro,-0.0629531573489804,29.5953170041469,0.0116521112169839,0.197448010794912,1411,0.15,0.375,0.4,G:\fg-meet-workbench\cases\curvature_fg\30x30\Thermal_CFFF_U_Vf0.6_R0.4m-30x30-10layer.txt,completed_corrected_pyro,0.000714482838420358,0.00502805190324768,0.00502492076927429,0.00502760030705106,pass
