load_case,radius_m,curvature_1pm,metric,U_ratio_to_flat,X_ratio_to_flat,gradient_curvature_interaction_pct_point,status
elastic,1,1,abs_w_ratio_to_flat,0.972468559689321,0.971465459012183,-0.10031006771376,completed_pilot
elastic,1,1,electric_ratio_to_flat,1.03456561795374,1.03755871843724,0.299310048349488,completed_pilot
elastic,1,1,magnetic_ratio_to_flat,1.034547814208,1.03755445905287,0.300664484487112,completed_pilot
elastic,0.4,2.5,abs_w_ratio_to_flat,0.921018366969132,0.920548313226135,-0.0470053742996801,completed_pilot
elastic,0.4,2.5,electric_ratio_to_flat,1.03815630867152,1.04073248549711,0.257617682558386,completed_pilot
elastic,0.4,2.5,magnetic_ratio_to_flat,1.03806584946533,1.04071000667097,0.264415720564348,completed_pilot
elastic,0.3,3.33333333333333,abs_w_ratio_to_flat,0.88420628230576,0.883848235632266,-0.0358046673494261,completed_pilot
elastic,0.3,3.33333333333333,electric_ratio_to_flat,1.02170032130229,1.02403930733932,0.233898603703242,completed_pilot
elastic,0.3,3.33333333333333,magnetic_ratio_to_flat,1.02154776019238,1.02400112225848,0.245336206610403,completed_pilot
elastic,0.2,5,abs_w_ratio_to_flat,0.789801010419269,0.78953953996344,-0.0261470455828694,completed_pilot
elastic,0.2,5,electric_ratio_to_flat,0.966295292702228,0.968297137398835,0.200184469660725,completed_pilot
elastic,0.2,5,magnetic_ratio_to_flat,0.965981270066661,0.968218050239106,0.223678017244433,completed_pilot
electro,1,1,abs_w_ratio_to_flat,1.1376804235374,1.15314055567831,1.54601321409102,completed_pilot
electro,1,1,electric_ratio_to_flat,0.930559148743091,0.922487025160893,-0.807212358219833,completed_pilot
electro,1,1,magnetic_ratio_to_flat,0.930558888289829,0.922486502296054,-0.807238599377424,completed_pilot
electro,0.4,2.5,abs_w_ratio_to_flat,1.20557887884243,1.22054665642025,1.49677775778168,completed_pilot
electro,0.4,2.5,electric_ratio_to_flat,0.878229873964994,0.868508229580003,-0.972164438499035,completed_pilot
electro,0.4,2.5,magnetic_ratio_to_flat,0.878195570683402,0.868498513446865,-0.969705723653713,completed_pilot
electro,0.3,3.33333333333333,abs_w_ratio_to_flat,1.20477486411405,1.2190828188223,1.43079547082439,completed_pilot
electro,0.3,3.33333333333333,electric_ratio_to_flat,0.866155949975671,0.856222302668092,-0.99336473075794,completed_pilot
electro,0.3,3.33333333333333,magnetic_ratio_to_flat,0.866086469100985,0.856203422729588,-0.98830463713967,completed_pilot
electro,0.2,5,abs_w_ratio_to_flat,1.18188894877141,1.19548266030384,1.35937115324287,completed_pilot
electro,0.2,5,electric_ratio_to_flat,0.852092430051781,0.841965110477933,-1.01273195738482,completed_pilot
electro,0.2,5,magnetic_ratio_to_flat,0.851921143279329,0.8419198636179,-1.00012796614283,completed_pilot
magneto,1,1,abs_w_ratio_to_flat,1.13768042353883,1.15314055566739,1.54601321285626,completed_pilot
magneto,1,1,electric_ratio_to_flat,0.930559148743394,0.922487025157785,-0.807212358560883,completed_pilot
magneto,1,1,magnetic_ratio_to_flat,0.930558888290131,0.922486502292947,-0.807238599718463,completed_pilot
magneto,0.4,2.5,abs_w_ratio_to_flat,1.20557887886417,1.22054665642574,1.4967777561572,completed_pilot
magneto,0.4,2.5,electric_ratio_to_flat,0.878229873971254,0.868508229581821,-0.972164438943302,completed_pilot
magneto,0.4,2.5,magnetic_ratio_to_flat,0.878195570689661,0.868498513448682,-0.969705724097902,completed_pilot
magneto,0.3,3.33333333333333,abs_w_ratio_to_flat,1.20477486411924,1.21908281881907,1.43079546998284,completed_pilot
magneto,0.3,3.33333333333333,electric_ratio_to_flat,0.866155949977473,0.856222302666539,-0.993364731093371,completed_pilot
magneto,0.3,3.33333333333333,magnetic_ratio_to_flat,0.866086469102787,0.856203422728036,-0.988304637475068,completed_pilot
magneto,0.2,5,abs_w_ratio_to_flat,1.1818889487749,1.1954826603039,1.35937115290032,completed_pilot
magneto,0.2,5,electric_ratio_to_flat,0.852092430052891,0.841965110478817,-1.01273195740734,completed_pilot
magneto,0.2,5,magnetic_ratio_to_flat,0.851921143280439,0.841919863618786,-1.00012796616528,completed_pilot
