radius_m,curvature_1pm,load_case,U_curved_to_flat_ratio,X_curved_to_flat_ratio,gradient_curvature_interaction_pct_point,max_20_to_30_mesh_change_pct,interaction_to_mesh_change_ratio,resolved_above_3x_mesh_bound
1.0,1.0,elastic,0.972659281574376,0.9716602207061056,-0.09990608682703961,0.007877531344657773,12.682410574575743,pass
1.0,1.0,electro,1.1371418925702077,1.1525626685193646,1.5420775949156917,0.0032155332824593424,479.5713368378702,pass
1.0,1.0,magneto,1.137141892605481,1.1525626683944423,1.5420775788961283,0.0032155301805486852,479.5717944818028,pass
0.4,2.5,elastic,0.9213376011324627,0.9208642879309584,-0.047331320150423295,0.005858832940377537,8.07862600488713,pass
0.4,2.5,electro,1.2046815353564537,1.219623628035538,1.4942092679084196,0.0015292950968268588,977.0575155892157,pass
0.4,2.5,magneto,1.2046815354091098,1.2196236280532529,1.4942092644143035,0.0015292918975980487,977.0595572769024,pass
0.3,3.3333333333333335,elastic,0.8845417201903268,0.8841794019212217,-0.03623182691051552,0.00534935767770321,6.773117277525541,pass
0.3,3.3333333333333335,electro,1.2038484853792581,1.218133476540686,1.4284991161427785,0.002022346802617646,706.3571462094362,pass
0.3,3.3333333333333335,magneto,1.2038484854257607,1.2181334765453216,1.428499111956083,0.002022344069470739,706.3580987630511,pass
0.2,5.0,elastic,0.7901344071320174,0.7898679322043661,-0.026647492765130565,0.0046376735682599445,5.74587503258206,pass
0.2,5.0,electro,1.1809779231568152,1.1945461443230574,1.3568221166242234,0.0022732620686490047,596.8612837632838,pass
0.2,5.0,magneto,1.1809779232028244,1.1945461443511838,1.3568221148359427,0.0022732545512383594,596.8632567333084,pass
