mesh,mode,radius_m,curvature_1pm,load_case,w_center_mm,w_20x20_mm,w_change_20_to_30_pct,mesh_gate_0p5pct,mesh_gate_1pct,flat_30_abs_w_mm,curved_to_flat_abs_ratio,material_passport,status
30,U,1.0,1.0,elastic,-2.06935194044678,-2.06951495429452,0.007877531344657773,pass,pass,2.12751986193692,0.972659281574376,canonical_cross_mesh_hash_verified,completed_corrected_pyro
30,U,1.0,1.0,electro,-0.0594237318246169,-0.0594218210347424,0.0032155332824593424,pass,pass,0.0522570949262148,1.1371418925702077,canonical_cross_mesh_hash_verified,completed_corrected_pyro
30,U,1.0,1.0,magneto,0.198528766969857,0.198522383217438,0.0032155301805486852,pass,pass,0.174585747179692,1.137141892605481,canonical_cross_mesh_hash_verified,completed_corrected_pyro
30,X,1.0,1.0,elastic,-1.75905248471932,-1.759169006275,0.0066241090980622514,pass,pass,1.81035762011644,0.9716602207061056,canonical_cross_mesh_hash_verified,completed_corrected_pyro
30,X,1.0,1.0,electro,-0.0488588019006604,-0.0488577228424693,0.0022085236418460763,pass,pass,0.0423914492766165,1.1525626685193646,canonical_cross_mesh_hash_verified,completed_corrected_pyro
30,X,1.0,1.0,magneto,0.351525311947237,0.351517548443515,0.0022085191188644187,pass,pass,0.304994532259945,1.1525626683944423,canonical_cross_mesh_hash_verified,completed_corrected_pyro
30,U,0.4,2.5,elastic,-1.96016404595863,-1.96027888869544,0.005858832940377537,pass,pass,2.12751986193692,0.9213376011324627,canonical_cross_mesh_hash_verified,completed_corrected_pyro
30,U,0.4,2.5,electro,-0.0629531573489804,-0.0629536071384859,0.0007144828384203581,pass,pass,0.0522570949262148,1.2046815353564537,canonical_cross_mesh_hash_verified,completed_corrected_pyro
30,U,0.4,2.5,magneto,0.210320225972978,0.210321728682308,0.000714486361473876,pass,pass,0.174585747179692,1.2046815354091098,canonical_cross_mesh_hash_verified,completed_corrected_pyro
30,X,0.4,2.5,elastic,-1.66709368074891,-1.66717211609997,0.004704915624457026,pass,pass,1.81035762011644,0.9208642879309584,canonical_cross_mesh_hash_verified,completed_corrected_pyro
30,X,0.4,2.5,electro,-0.0517016131644315,-0.0517024038346666,0.0015292950968268588,pass,pass,0.0423914492766165,1.219623628035538,canonical_cross_mesh_hash_verified,completed_corrected_pyro
30,X,0.4,2.5,magneto,0.371978537971279,0.371984226608921,0.0015292918975980487,pass,pass,0.304994532259945,1.2196236280532529,canonical_cross_mesh_hash_verified,completed_corrected_pyro
30,U,0.3,3.3333333333333335,elastic,-1.88188007841677,-1.88198074691323,0.00534935767770321,pass,pass,2.12751986193692,0.8845417201903268,canonical_cross_mesh_hash_verified,completed_corrected_pyro
30,U,0.3,3.3333333333333335,electro,-0.0629096245772438,-0.0629104007522077,0.0012337936668902708,pass,pass,0.0522570949262148,1.2038484853792581,canonical_cross_mesh_hash_verified,completed_corrected_pyro
30,U,0.3,3.3333333333333335,magneto,0.210174787319197,0.210177380446943,0.001233795822552759,pass,pass,0.174585747179692,1.2038484854257607,canonical_cross_mesh_hash_verified,completed_corrected_pyro
30,X,0.3,3.3333333333333335,elastic,-1.60068091781808,-1.60074838727911,0.004215047501274431,pass,pass,1.81035762011644,0.8841794019212217,canonical_cross_mesh_hash_verified,completed_corrected_pyro
30,X,0.3,3.3333333333333335,electro,-0.051638443482923,-0.0516394877913337,0.002022346802617646,pass,pass,0.0423914492766165,1.218133476540686,canonical_cross_mesh_hash_verified,completed_corrected_pyro
30,X,0.3,3.3333333333333335,magneto,0.371524049909121,0.371531563403711,0.002022344069470739,pass,pass,0.304994532259945,1.2181334765453216,canonical_cross_mesh_hash_verified,completed_corrected_pyro
30,U,0.2,5.0,elastic,-1.68102664477312,-1.6811046053015,0.0046376735682599445,pass,pass,2.12751986193692,0.7901344071320174,canonical_cross_mesh_hash_verified,completed_corrected_pyro
30,U,0.2,5.0,electro,-0.0617144754361697,-0.0617153824676679,0.0014697224464501038,pass,pass,0.0522570949262148,1.1809779231568152,canonical_cross_mesh_hash_verified,completed_corrected_pyro
30,U,0.2,5.0,magneto,0.206181913125086,0.20618494343398,0.0014697258591107655,pass,pass,0.174585747179692,1.1809779232028244,canonical_cross_mesh_hash_verified,completed_corrected_pyro
30,X,0.2,5.0,elastic,-1.42994342995179,-1.4299939838503,0.0035353775157215333,pass,pass,1.81035762011644,0.7898679322043661,canonical_cross_mesh_hash_verified,completed_corrected_pyro
30,X,0.2,5.0,electro,-0.0506385422856487,-0.0506396934324226,0.0022732620686490047,pass,pass,0.0423914492766165,1.1945461443230574,canonical_cross_mesh_hash_verified,completed_corrected_pyro
30,X,0.2,5.0,magneto,0.36433004255931,0.364338324708584,0.0022732545512383594,pass,pass,0.304994532259945,1.1945461443511838,canonical_cross_mesh_hash_verified,completed_corrected_pyro
