case_id,status,center_node_id,old_w_center_mm,new_w_center_mm,diff_w_center_mm,message
U_Vf10_elastic,ok,1411,-0.230984593691894,-1.35667112293398,-1.12568652924209,
U_Vf10_electro,ok,1411,-0.00106499972536494,-0.00845044672032112,-0.00738544699495618,
U_Vf10_magneto,ok,1411,0.136057739217294,1.07957650011938,0.943518760902082,
U_Vf20_elastic,ok,1411,-0.249374649514256,-1.46562401795581,-1.21624936844156,
U_Vf20_electro,ok,1411,-0.00215240240238373,-0.0170514635891194,-0.0148990611867357,
U_Vf20_magneto,ok,1411,0.121243093241211,0.960495206448138,0.839252113206927,
U_Vf30_elastic,ok,1411,-0.270475042280129,-1.59071475196702,-1.32023970968689,
U_Vf30_electro,ok,1411,-0.00325910090442587,-0.0257671886411594,-0.0225080877367336,
U_Vf30_magneto,ok,1411,0.103350647148299,0.817113584188816,0.713762937040517,
U_Vf40_elastic,ok,1411,-0.295203294667833,-1.73742432336768,-1.44222102869984,
U_Vf40_electro,ok,1411,-0.00438141250854515,-0.0345607273915596,-0.0301793148830145,
U_Vf40_magneto,ok,1411,0.0817400611478427,0.644768317238207,0.563028256090364,
U_Vf50_elastic,ok,1411,-0.324788967742204,-1.9131032144379,-1.5883142466957,
U_Vf50_electro,ok,1411,-0.00551550976914424,-0.0433953642985694,-0.0378798545294252,
U_Vf50_magneto,ok,1411,0.0552802073892142,0.434937990959423,0.379657783570208,
U_Vf60_elastic,ok,1411,-0.360862408498576,-2.12751986193692,-1.76665745343834,
U_Vf60_electro,ok,1411,-0.00666109134281211,-0.0522570949262148,-0.0455960035834026,
U_Vf60_magneto,ok,1411,0.022254042455956,0.174585747179692,0.152331704723736,
U_Vf70_elastic,ok,1411,-0.406011340193272,-2.39618190365557,-1.9901705634623,
U_Vf70_electro,ok,1411,-0.00781227159950366,-0.0610890543438299,-0.0532767827443263,
U_Vf70_magneto,ok,1411,-0.0199437741252633,-0.155952885901855,-0.136009111776591,
U_Vf80_elastic,ok,1411,-0.464314601134045,-2.74356389367659,-2.27924929254254,
U_Vf80_electro,ok,1411,-0.00895894370681185,-0.0697972558537243,-0.0608383121469124,
U_Vf80_magneto,ok,1411,-0.0756360598775867,-0.589264716453645,-0.513628656576058,
U_Vf90_elastic,ok,1411,-0.542464560434128,-3.20991999537892,-2.66745543494479,
U_Vf90_electro,ok,1411,-0.0100867700913188,-0.0782418831995812,-0.0681551131082624,
U_Vf90_magneto,ok,1411,-0.152203834255788,-1.18062714967801,-1.02842331542222,
