mode,freq_Hz,omega_rad_s,modal_force,eta_static,center_shape,center_static_contribution_mm
1,52.1956631234132,327.955023635525,-606.4258896929,-0.00563831270316036,0.396482925648431,-2.23549471626973
2,124.934908847657,784.989183625422,1.20328369490608e-09,1.95272320216319e-15,1.66011525123964e-12,3.24174556936063e-24
3,316.927641438747,1991.31510012701,320.798102497718,8.09006138226674e-05,-0.561491915657718,-0.0454250406331747
4,406.456076699852,2553.83884913437,-110.395970582397,-1.69264640703109e-05,0.861316640028569,-0.0145790451606045
5,456.391414595754,2867.59183051095,-1.01258557094752e-09,-1.23139409205982e-16,-3.50094602015443e-12,4.31104424583849e-25
6,796.966293013358,5007.48690257891,18.4113438723359,7.34253195730924e-07,0.924036307104862,0.000678476611463146
7,917.087243313845,5762.22909259138,-196.615346648663,-5.92156323948811e-06,0.122790972202449,-0.000727114507135029
8,952.09103868924,5982.16442538958,-2.43390196885684e-10,-6.80121321992071e-18,-8.59010057518085e-13,5.84231055923685e-27
