mode,target_w_mm,probe_w_center_mm,scale,electric_span,magnetic_span,correct_pyro_assembly
corrected,0.5,-2.12849830358636,0.2349073988725,78.4316893709343,0.0308809095657324,1
corrected,1,-2.12849830358636,0.469814797745,156.863378741869,0.0617618191314648,1
corrected,2,-2.12849830358636,0.939629595489999,313.726757483737,0.12352363826293,1
legacy,0.5,-2.12849830358636,0.2349073988725,164.544443367357,0.170287138665866,0
legacy,1,-2.12849830358636,0.469814797745,329.088886734715,0.340574277331733,0
legacy,2,-2.12849830358636,0.939629595489999,658.177773469429,0.681148554663466,0
