layer,z_mid_m,probe_pressure_Pa,probe_w_center_mm,avg_eXX,avg_eYY,temperature_reciprocal_K,phi_drop_zero_temperature,psi_drop_zero_temperature,phi_drop_thermo_corrected,psi_drop_thermo_corrected
1,-0.0027,15000.0,-2.26951320921472,-2.587022088629839E-4,3.685191128914886E-5,1.2292551765850315,161.77374218058665,-0.12505426894713204,184.25099565610122,-0.07254514571709313
2,-0.0021000000000000003,15000.0,-2.26951320921472,-2.0120729966852392E-4,2.8681627099189622E-5,0.9559512807463586,125.80611330699207,-0.09725058786810897,143.28593332879728,-0.056415971460738644
3,-0.0015000000000000002,15000.0,-2.26951320921472,-1.437129853854962E-4,2.0499090040673832E-5,0.6827185734534373,89.84785306382183,-0.06945414892376713,102.33154133315745,-0.04029099843413963
4,-9.000000000000002E-4,15000.0,-2.26951320921472,-8.621894937816778E-5,1.2309301649678415E-5,0.40952758713151677,53.89508342808184,-0.04166195432643123,61.38340282385072,-0.024168487592755205
5,-3.0000000000000035E-4,15000.0,-2.26951320921472,-2.872503447940974E-5,4.115674186541085E-6,0.1363585438617087,17.945201565135232,-0.013871992033984221,20.438553321803376,-0.008047271732220383
6,2.999999999999995E-4,15000.0,-2.26951320921472,2.8768846568083524E-5,-4.079155664883388E-6,-0.13680364950126886,-18.003778829115003,0.013917273405516916,-20.505269459203696,0.008073539877432584
7,8.999999999999998E-4,15000.0,-2.26951320921472,8.626276147339479E-5,-1.2272782885314714E-5,-0.4099726941522029,-53.95366087382202,0.041707235838468276,-61.4501191682657,0.024194755819475288
8,0.0014999999999999996,15000.0,-2.26951320921472,1.437567974940455E-4,-2.0462570800027387E-5,-0.6831636831869865,-89.90643086658311,0.06949943071178848,-102.39825808419893,0.04031726682096079
9,0.0020999999999999994,15000.0,-2.26951320921472,2.012511117975585E-4,-2.864510716837347E-5,-0.9563963944175915,-125.86469162796459,0.09729587005671772,-143.35265067005162,0.05644224007994428
10,0.0026999999999999993,15000.0,-2.26951320921472,2.587460210196322E-4,-3.681539048780599E-5,-1.2297002952327905,-161.83232115648522,0.12509955164201142,-184.31771374327872,0.07257141462999109
