x_over_a,x_m,y_m,z_m,w_mm
0.0,0.0,0.15,0,0.0
0.1,0.03,0.15,0,0.00579045240607772
0.2,0.06,0.15,0,0.025810067978341854
0.3,0.09,0.15,0,0.0626572044358901
0.4,0.12,0.15,0,0.11734589625308373
0.5,0.15,0.15,0,0.1899725089225852
0.6,0.18,0.15,0,0.28023183242043553
0.7,0.21000000000000002,0.15,0,0.38770729831670964
0.8,0.24,0.15,0,0.5120008804894983
0.9,0.26999999999999996,0.15,0,0.6527731714010204
1.0,0.3,0.15,0,0.8097540471739064
