x_over_a,x_m,y_m,z_m,w_mm
0.0,0.0,0.15,0,0.0
0.1,0.03,0.15,0,-0.0017325707736779517
0.2,0.06,0.15,0,-0.007722672830413222
0.3,0.09,0.15,0,-0.018747765056356915
0.4,0.12,0.15,0,-0.03511125837559599
0.5,0.15,0.15,0,-0.05684198646758306
0.6,0.18,0.15,0,-0.08384862694139512
0.7,0.21000000000000002,0.15,0,-0.11600653767380864
0.8,0.24,0.15,0,-0.15319662461505218
0.9,0.26999999999999996,0.15,0,-0.1953173330782867
1.0,0.3,0.15,0,-0.2422878388534174
