case_id,fg_mode,vf0,load_case,input_file,w_center_mm,theta_mean_K,theta_min_K,theta_max_K,theta_span_K,magnetoelectric_efficiency,load_scale,volt,magnetic,status,message,output_mat
CFCF_X_Vf10_electro,X,0.1,electro,cases/cfcf/Thermal_CFCF_X_Vf0.1-30x30-10layer.txt,0.0008944781897044,3.46944695195361e-18,-0.0091078458359068,0.0091078458359068,0.0182156916718137,,0,300,0,ok,,G:\fg-meet-workbench\output\static_electro_CFCF_X_Vf10_electro.mat
CFCF_X_Vf10_magneto,X,0.1,magneto,cases/cfcf/Thermal_CFCF_X_Vf0.1-30x30-10layer.txt,-0.128355104228423,-5.10702591327572e-16,-1.30695025884357,1.30695025884357,2.61390051768714,1.2670404060019,0,0,200,ok,,G:\fg-meet-workbench\output\static_magneto_CFCF_X_Vf10_magneto.mat
CFCF_X_Vf30_elastic,X,0.3,elastic,cases/cfcf/Thermal_CFCF_X_Vf0.3-30x30-10layer.txt,-0.0813664395088809,-6.2450045135165095e-18,-0.017302654085522,0.017302654085522,0.0346053081710439,,-15000,0,0,ok,,G:\fg-meet-workbench\output\static_elastic_CFCF_X_Vf30_elastic.mat
CFCF_X_Vf30_electro,X,0.3,electro,cases/cfcf/Thermal_CFCF_X_Vf0.3-30x30-10layer.txt,0.002488963892635,-1.4571677198205202e-17,-0.0206534694236927,0.0206534694236926,0.0413069388473853,,0,300,0,ok,,G:\fg-meet-workbench\output\static_electro_CFCF_X_Vf30_electro.mat
CFCF_X_Vf30_magneto,X,0.3,magneto,cases/cfcf/Thermal_CFCF_X_Vf0.3-30x30-10layer.txt,-0.0927885445367283,5.662137425588301e-16,-0.769961096313596,0.769961096313597,1.53992219262719,0.867428965005952,0,0,200,ok,,G:\fg-meet-workbench\output\static_magneto_CFCF_X_Vf30_magneto.mat
CFCF_X_Vf50_elastic,X,0.5,elastic,cases/cfcf/Thermal_CFCF_X_Vf0.5-30x30-10layer.txt,-0.0922866707602358,-4.23920538784872e-07,-0.0164648160673999,0.0164641402168188,0.0329289562842187,,-15000,0,0,ok,,G:\fg-meet-workbench\output\static_elastic_CFCF_X_Vf50_elastic.mat
CFCF_X_Vf50_electro,X,0.5,electro,cases/cfcf/Thermal_CFCF_X_Vf0.5-30x30-10layer.txt,0.0037407692847161,-5.69542247884705e-07,-0.0274949009162888,0.0274939929030552,0.054988893819344,,0,300,0,ok,,G:\fg-meet-workbench\output\static_electro_CFCF_X_Vf50_electro.mat
CFCF_X_Vf50_magneto,X,0.5,magneto,cases/cfcf/Thermal_CFCF_X_Vf0.5-30x30-10layer.txt,-0.0523098286068664,7.96431298046851e-06,-0.38446799228002,0.384480689672724,0.768948681952743,0.454070474126983,0,0,200,ok,,G:\fg-meet-workbench\output\static_magneto_CFCF_X_Vf50_magneto.mat
CFCF_X_Vf70_elastic,X,0.7,elastic,cases/cfcf/Thermal_CFCF_X_Vf0.7-30x30-10layer.txt,-0.106486517409616,-1.49186218934005e-17,-0.0165983336255261,0.0165983336255261,0.0331966672510522,,-15000,0,0,ok,,G:\fg-meet-workbench\output\static_elastic_CFCF_X_Vf70_elastic.mat
CFCF_X_Vf70_electro,X,0.7,electro,cases/cfcf/Thermal_CFCF_X_Vf0.7-30x30-10layer.txt,0.0045465674061257,-4.16333634234434e-18,-0.0312865121675622,0.0312865121675622,0.0625730243351245,,0,300,0,ok,,G:\fg-meet-workbench\output\static_electro_CFCF_X_Vf70_electro.mat
CFCF_X_Vf70_magneto,X,0.7,magneto,cases/cfcf/Thermal_CFCF_X_Vf0.7-30x30-10layer.txt,-0.0069526745519401,4.8572257327350596e-18,-0.0478437725729686,0.0478437725729686,0.0956875451459372,0.0541422822904158,0,0,200,ok,,G:\fg-meet-workbench\output\static_magneto_CFCF_X_Vf70_magneto.mat
CFCF_X_Vf90_elastic,X,0.9,elastic,cases/cfcf/Thermal_CFCF_X_Vf0.9-30x30-10layer.txt,-0.125786681194819,-9.21691877322356e-07,-0.0175066267523452,0.0175052481524803,0.0350118749048255,,-15000,0,0,ok,,G:\fg-meet-workbench\output\static_elastic_CFCF_X_Vf90_elastic.mat
CFCF_X_Vf90_electro,X,0.9,electro,cases/cfcf/Thermal_CFCF_X_Vf0.9-30x30-10layer.txt,0.0047917982018015,-1.33384722026467e-06,-0.0323143053218729,0.0323123102499374,0.0646266155718103,,0,300,0,ok,,G:\fg-meet-workbench\output\static_electro_CFCF_X_Vf90_electro.mat
CFCF_X_Vf90_magneto,X,0.9,magneto,cases/cfcf/Thermal_CFCF_X_Vf0.9-30x30-10layer.txt,0.043394899824121,-1.20794248977985e-05,-0.292640879951988,0.29262281242428,0.585263692376268,0.320154831335512,0,0,200,ok,,G:\fg-meet-workbench\output\static_magneto_CFCF_X_Vf90_magneto.mat
