case_id,fg_mode,vf0,e0,porosity_name,porosity_mode,load_case,input_file,w_center_mm,theta_mean_K,theta_min_K,theta_max_K,theta_span_K,magnetoelectric_efficiency,load_scale,volt,magnetic,status,message,output_mat
U_Vf10_e10_Even_magneto,U,0.1,0.1,Even,1,magneto,cases/porous/Porous_CFFF_U_Vf0.1_e10_Even-30x30-10layer.txt,1.10110068327623,-1.95399252334028e-15,-4.18597798834858,4.18597798834857,8.37195597669715,5.24903778789755,0,0,200,ok,,G:\fg-meet-workbench\output\static_magneto_U_Vf10_e10_Even_magneto.mat
U_Vf30_e10_Even_elastic,U,0.3,0.1,Even,1,elastic,cases/porous/Porous_CFFF_U_Vf0.3_e10_Even-30x30-10layer.txt,-1.79041938723438,1.88737914186277e-15,-1.20866621487791,1.20866621487791,2.41733242975582,,-15000,0,0,ok,,G:\fg-meet-workbench\output\static_elastic_U_Vf30_e10_Even_elastic.mat
U_Vf30_e10_Even_electro,U,0.3,0.1,Even,1,electro,cases/porous/Porous_CFFF_U_Vf0.3_e10_Even-30x30-10layer.txt,-0.0226030710609886,4.02455846426619e-17,-0.0653725936561921,0.0653725936561922,0.130745187312384,,0,300,0,ok,,G:\fg-meet-workbench\output\static_electro_U_Vf30_e10_Even_electro.mat
U_Vf30_e10_Even_magneto,U,0.3,0.1,Even,1,magneto,cases/porous/Porous_CFFF_U_Vf0.3_e10_Even-30x30-10layer.txt,0.834726282911749,-1.5543122344752201e-15,-2.41419504277452,2.41419504277451,4.82839008554903,3.40120330266658,0,0,200,ok,,G:\fg-meet-workbench\output\static_magneto_U_Vf30_e10_Even_magneto.mat
U_Vf50_e10_Even_elastic,U,0.5,0.1,Even,1,elastic,cases/porous/Porous_CFFF_U_Vf0.5_e10_Even-30x30-10layer.txt,-2.15507484575006,1.1990408665951701e-15,-1.22385801296717,1.22385801296718,2.44771602593435,,-15000,0,0,ok,,G:\fg-meet-workbench\output\static_elastic_U_Vf50_e10_Even_elastic.mat
U_Vf50_e10_Even_electro,U,0.5,0.1,Even,1,electro,cases/porous/Porous_CFFF_U_Vf0.5_e10_Even-30x30-10layer.txt,-0.0380331134147222,1.38777878078145e-17,-0.0902651264476295,0.0902651264476296,0.180530252895259,,0,300,0,ok,,G:\fg-meet-workbench\output\static_electro_U_Vf50_e10_Even_electro.mat
U_Vf50_e10_Even_magneto,U,0.5,0.1,Even,1,magneto,cases/porous/Porous_CFFF_U_Vf0.5_e10_Even-30x30-10layer.txt,0.444564262485815,-1.55431223447522e-16,-1.05509767054342,1.05509767054342,2.11019534108684,1.52842570188397,0,0,200,ok,,G:\fg-meet-workbench\output\static_magneto_U_Vf50_e10_Even_magneto.mat
U_Vf70_e10_Even_elastic,U,0.7,0.1,Even,1,elastic,cases/porous/Porous_CFFF_U_Vf0.7_e10_Even-30x30-10layer.txt,-2.70321085801853,5.99520433297585e-16,-1.35293583068254,1.35293583068254,2.70587166136508,,-15000,0,0,ok,,G:\fg-meet-workbench\output\static_elastic_U_Vf70_e10_Even_elastic.mat
U_Vf70_e10_Even_electro,U,0.7,0.1,Even,1,electro,cases/porous/Porous_CFFF_U_Vf0.7_e10_Even-30x30-10layer.txt,-0.0534664962285677,2.9143354396410404e-17,-0.108099683270239,0.108099683270239,0.216199366540478,,0,300,0,ok,,G:\fg-meet-workbench\output\static_electro_U_Vf70_e10_Even_electro.mat
U_Vf70_e10_Even_magneto,U,0.7,0.1,Even,1,magneto,cases/porous/Porous_CFFF_U_Vf0.7_e10_Even-30x30-10layer.txt,-0.1596819308049,8.88178419700125e-17,-0.322848276246865,0.322848276246865,0.64569655249373,0.455641977974256,0,0,200,ok,,G:\fg-meet-workbench\output\static_magneto_U_Vf70_e10_Even_magneto.mat
U_Vf90_e10_Even_elastic,U,0.9,0.1,Even,1,elastic,cases/porous/Porous_CFFF_U_Vf0.9_e10_Even-30x30-10layer.txt,-3.62423500416538,3.73034936274053e-15,-1.64655599255138,1.64655599255139,3.29311198510278,,-15000,0,0,ok,,G:\fg-meet-workbench\output\static_elastic_U_Vf90_e10_Even_elastic.mat
U_Vf90_e10_Even_electro,U,0.9,0.1,Even,1,electro,cases/porous/Porous_CFFF_U_Vf0.9_e10_Even-30x30-10layer.txt,-0.0683623992998994,1.31838984174237e-16,-0.119418158374147,0.119418158374147,0.238836316748295,,0,300,0,ok,,G:\fg-meet-workbench\output\static_electro_U_Vf90_e10_Even_electro.mat
U_Vf90_e10_Even_magneto,U,0.9,0.1,Even,1,magneto,cases/porous/Porous_CFFF_U_Vf0.9_e10_Even-30x30-10layer.txt,-1.20916405597099,2.2648549702353204e-15,-2.11221587025009,2.1122158702501,4.22443174050019,2.75113860896235,0,0,200,ok,,G:\fg-meet-workbench\output\static_magneto_U_Vf90_e10_Even_magneto.mat
U_Vf10_e10_Uneven_elastic,U,0.1,0.1,Uneven,2,elastic,cases/porous/Porous_CFFF_U_Vf0.1_e10_Uneven-30x30-10layer.txt,-1.39776966891281,3.77475828372553e-16,-1.20424278738859,1.20424278738859,2.40848557477717,,-15000,0,0,ok,,G:\fg-meet-workbench\output\static_elastic_U_Vf10_e10_Uneven_elastic.mat
U_Vf10_e10_Uneven_electro,U,0.1,0.1,Uneven,2,electro,cases/porous/Porous_CFFF_U_Vf0.1_e10_Uneven-30x30-10layer.txt,-0.0085077275625179,-4.16333634234434e-18,-0.0319803258445566,0.0319803258445566,0.0639606516891133,,0,300,0,ok,,G:\fg-meet-workbench\output\static_electro_U_Vf10_e10_Uneven_electro.mat
U_Vf10_e10_Uneven_magneto,U,0.1,0.1,Uneven,2,magneto,cases/porous/Porous_CFFF_U_Vf0.1_e10_Uneven-30x30-10layer.txt,1.10330932644662,5.32907051820075e-16,-4.14731096040758,4.14731096040758,8.29462192081516,5.37788290976376,0,0,200,ok,,G:\fg-meet-workbench\output\static_magneto_U_Vf10_e10_Uneven_magneto.mat
U_Vf30_e10_Uneven_elastic,U,0.3,0.1,Uneven,2,elastic,cases/porous/Porous_CFFF_U_Vf0.3_e10_Uneven-30x30-10layer.txt,-1.63936399919993,2.9753977059954204e-15,-1.09499792718478,1.09499792718478,2.18999585436956,,-15000,0,0,ok,,G:\fg-meet-workbench\output\static_elastic_U_Vf30_e10_Uneven_elastic.mat
U_Vf30_e10_Uneven_electro,U,0.3,0.1,Uneven,2,electro,cases/porous/Porous_CFFF_U_Vf0.3_e10_Uneven-30x30-10layer.txt,-0.0259477701010833,7.07767178198537e-17,-0.0741773128833469,0.0741773128833471,0.148354625766694,,0,300,0,ok,,G:\fg-meet-workbench\output\static_electro_U_Vf30_e10_Uneven_electro.mat
U_Vf30_e10_Uneven_magneto,U,0.3,0.1,Uneven,2,magneto,cases/porous/Porous_CFFF_U_Vf0.3_e10_Uneven-30x30-10layer.txt,0.835450960617006,-2.17603712826531e-15,-2.38831726436617,2.38831726436617,4.77663452873234,3.53585826779843,0,0,200,ok,,G:\fg-meet-workbench\output\static_magneto_U_Vf30_e10_Uneven_magneto.mat
U_Vf50_e10_Uneven_elastic,U,0.5,0.1,Uneven,2,elastic,cases/porous/Porous_CFFF_U_Vf0.5_e10_Uneven-30x30-10layer.txt,-1.97212310459628,1.1324274851176602e-15,-1.10881206899209,1.1088120689921,2.21762413798419,,-15000,0,0,ok,,G:\fg-meet-workbench\output\static_elastic_U_Vf50_e10_Uneven_elastic.mat
U_Vf50_e10_Uneven_electro,U,0.5,0.1,Uneven,2,electro,cases/porous/Porous_CFFF_U_Vf0.5_e10_Uneven-30x30-10layer.txt,-0.0437005430157174,5.27355936696949e-17,-0.102579764624118,0.102579764624118,0.205159529248235,,0,300,0,ok,,G:\fg-meet-workbench\output\static_electro_U_Vf50_e10_Uneven_electro.mat
U_Vf50_e10_Uneven_magneto,U,0.5,0.1,Uneven,2,magneto,cases/porous/Porous_CFFF_U_Vf0.5_e10_Uneven-30x30-10layer.txt,0.444693514227831,-5.55111512312578e-16,-1.04384414636465,1.04384414636465,2.0876882927293,1.60031236739455,0,0,200,ok,,G:\fg-meet-workbench\output\static_magneto_U_Vf50_e10_Uneven_magneto.mat
U_Vf70_e10_Uneven_elastic,U,0.7,0.1,Uneven,2,elastic,cases/porous/Porous_CFFF_U_Vf0.7_e10_Uneven-30x30-10layer.txt,-2.47109347956151,6.66133814775094e-17,-1.22422865648879,1.22422865648879,2.44845731297759,,-15000,0,0,ok,,G:\fg-meet-workbench\output\static_elastic_U_Vf70_e10_Uneven_elastic.mat
U_Vf70_e10_Uneven_electro,U,0.7,0.1,Uneven,2,electro,cases/porous/Porous_CFFF_U_Vf0.7_e10_Uneven-30x30-10layer.txt,-0.0615179861462934,3.05311331771918e-17,-0.123017287210618,0.123017287210618,0.246034574421236,,0,300,0,ok,,G:\fg-meet-workbench\output\static_electro_U_Vf70_e10_Uneven_electro.mat
U_Vf70_e10_Uneven_magneto,U,0.7,0.1,Uneven,2,magneto,cases/porous/Porous_CFFF_U_Vf0.7_e10_Uneven-30x30-10layer.txt,-0.159543858363824,9.99200722162641e-17,-0.319039257897246,0.319039257897247,0.638078515794493,0.476523526920465,0,0,200,ok,,G:\fg-meet-workbench\output\static_magneto_U_Vf70_e10_Uneven_magneto.mat
U_Vf90_e10_Uneven_elastic,U,0.9,0.1,Uneven,2,elastic,cases/porous/Porous_CFFF_U_Vf0.9_e10_Uneven-30x30-10layer.txt,-3.30989710811912,-3.73034936274053e-15,-1.48984838470972,1.48984838470971,2.97969676941943,,-15000,0,0,ok,,G:\fg-meet-workbench\output\static_elastic_U_Vf90_e10_Uneven_elastic.mat
U_Vf90_e10_Uneven_electro,U,0.9,0.1,Uneven,2,electro,cases/porous/Porous_CFFF_U_Vf0.9_e10_Uneven-30x30-10layer.txt,-0.0787974920178477,-1.3877787807814499e-16,-0.136282034435073,0.136282034435073,0.272564068870147,,0,300,0,ok,,G:\fg-meet-workbench\output\static_electro_U_Vf90_e10_Uneven_electro.mat
U_Vf90_e10_Uneven_magneto,U,0.9,0.1,Uneven,2,magneto,cases/porous/Porous_CFFF_U_Vf0.9_e10_Uneven-30x30-10layer.txt,-1.2073049843679,-2.1316282072803e-15,-2.08806112013929,2.08806112013928,4.17612224027857,2.84851071584991,0,0,200,ok,,G:\fg-meet-workbench\output\static_magneto_U_Vf90_e10_Uneven_magneto.mat
U_Vf10_e10_LogUneven_elastic,U,0.1,0.1,LogUneven,3,elastic,cases/porous/Porous_CFFF_U_Vf0.1_e10_LogUneven-30x30-10layer.txt,-1.48904570262773,4.44089209850063e-15,-1.29263602824154,1.29263602824155,2.58527205648309,,-15000,0,0,ok,,G:\fg-meet-workbench\output\static_elastic_U_Vf10_e10_LogUneven_elastic.mat
U_Vf10_e10_LogUneven_electro,U,0.1,0.1,LogUneven,3,electro,cases/porous/Porous_CFFF_U_Vf0.1_e10_LogUneven-30x30-10layer.txt,-0.0069402967929933,4.8572257327350605e-17,-0.0262947724928008,0.0262947724928009,0.0525895449856017,,0,300,0,ok,,G:\fg-meet-workbench\output\static_electro_U_Vf10_e10_LogUneven_electro.mat
U_Vf10_e10_LogUneven_magneto,U,0.1,0.1,LogUneven,3,magneto,cases/porous/Porous_CFFF_U_Vf0.1_e10_LogUneven-30x30-10layer.txt,1.05534112004454,-7.194245199571011e-15,-3.99838155081343,3.99838155081341,7.99676310162684,5.20841772629606,0,0,200,ok,,G:\fg-meet-workbench\output\static_magneto_U_Vf10_e10_LogUneven_magneto.mat
U_Vf30_e10_LogUneven_elastic,U,0.3,0.1,LogUneven,3,elastic,cases/porous/Porous_CFFF_U_Vf0.3_e10_LogUneven-30x30-10layer.txt,-1.74733266306369,-1.2434497875801802e-15,-1.17670938199606,1.17670938199606,2.35341876399212,,-15000,0,0,ok,,G:\fg-meet-workbench\output\static_elastic_U_Vf30_e10_LogUneven_elastic.mat
U_Vf30_e10_LogUneven_electro,U,0.3,0.1,LogUneven,3,electro,cases/porous/Porous_CFFF_U_Vf0.3_e10_LogUneven-30x30-10layer.txt,-0.0211442084562158,-2.98372437868011e-17,-0.0609625544528059,0.0609625544528058,0.121925108905612,,0,300,0,ok,,G:\fg-meet-workbench\output\static_electro_U_Vf30_e10_LogUneven_electro.mat
U_Vf30_e10_LogUneven_magneto,U,0.3,0.1,LogUneven,3,magneto,cases/porous/Porous_CFFF_U_Vf0.3_e10_LogUneven-30x30-10layer.txt,0.799624953860049,1.02140518265514e-15,-2.30546250485072,2.30546250485072,4.61092500970144,3.36206743477985,0,0,200,ok,,G:\fg-meet-workbench\output\static_magneto_U_Vf30_e10_LogUneven_magneto.mat
U_Vf50_e10_LogUneven_elastic,U,0.5,0.1,LogUneven,3,elastic,cases/porous/Porous_CFFF_U_Vf0.5_e10_LogUneven-30x30-10layer.txt,-2.10348803856478,-6.66133814775094e-16,-1.19149649813587,1.19149649813587,2.38299299627174,,-15000,0,0,ok,,G:\fg-meet-workbench\output\static_elastic_U_Vf50_e10_LogUneven_elastic.mat
U_Vf50_e10_LogUneven_electro,U,0.5,0.1,LogUneven,3,electro,cases/porous/Porous_CFFF_U_Vf0.5_e10_LogUneven-30x30-10layer.txt,-0.0355582346795525,-2.77555756156289e-17,-0.0841135559355203,0.0841135559355203,0.168227111871041,,0,300,0,ok,,G:\fg-meet-workbench\output\static_electro_U_Vf50_e10_LogUneven_electro.mat
U_Vf50_e10_LogUneven_magneto,U,0.5,0.1,LogUneven,3,magneto,cases/porous/Porous_CFFF_U_Vf0.5_e10_LogUneven-30x30-10layer.txt,0.425940371853047,3.9968028886505597e-16,-1.00756855947344,1.00756855947344,2.01513711894688,1.5090867639083,0,0,200,ok,,G:\fg-meet-workbench\output\static_magneto_U_Vf50_e10_LogUneven_magneto.mat
U_Vf70_e10_LogUneven_elastic,U,0.7,0.1,LogUneven,3,elastic,cases/porous/Porous_CFFF_U_Vf0.7_e10_LogUneven-30x30-10layer.txt,-2.63693723169458,4.44089209850063e-17,-1.31630214201611,1.31630214201611,2.63260428403223,,-15000,0,0,ok,,G:\fg-meet-workbench\output\static_elastic_U_Vf70_e10_LogUneven_elastic.mat
U_Vf70_e10_LogUneven_electro,U,0.7,0.1,LogUneven,3,electro,cases/porous/Porous_CFFF_U_Vf0.7_e10_LogUneven-30x30-10layer.txt,-0.049964732584942,-9.714451465470119e-18,-0.100695704539846,0.100695704539846,0.201391409079692,,0,300,0,ok,,G:\fg-meet-workbench\output\static_electro_U_Vf70_e10_LogUneven_electro.mat
U_Vf70_e10_LogUneven_magneto,U,0.7,0.1,LogUneven,3,magneto,cases/porous/Porous_CFFF_U_Vf0.7_e10_LogUneven-30x30-10layer.txt,-0.152907436575598,-3.33066907387547e-17,-0.30815980111669,0.30815980111669,0.61631960223338,0.450628307033814,0,0,200,ok,,G:\fg-meet-workbench\output\static_magneto_U_Vf70_e10_LogUneven_magneto.mat
U_Vf90_e10_LogUneven_elastic,U,0.9,0.1,LogUneven,3,elastic,cases/porous/Porous_CFFF_U_Vf0.9_e10_LogUneven-30x30-10layer.txt,-3.53462490276643,-4.44089209850063e-15,-1.60180962715582,1.60180962715581,3.20361925431163,,-15000,0,0,ok,,G:\fg-meet-workbench\output\static_elastic_U_Vf90_e10_LogUneven_elastic.mat
