x_over_a,x_m,y_m,z_m,comsol_w_mm,qian_present_w_mm,qian_comsol_w_mm,delta_vs_qian_present_mm
0.0,0.0,0.15,0,0.0,0.0,0.0,0.0
0.1,0.03,0.15,0,0.015011110468755442,0.0055,0.00532,0.009511110468755442
0.2,0.06,0.15,0,0.06792585477467274,0.0243,0.0239,0.043625854774672734
0.3,0.09,0.15,0,0.16514519602322963,0.0584,0.0578,0.10674519602322963
0.4,0.12,0.15,0,0.30911238150998854,0.109,0.108,0.20011238150998856
0.5,0.15,0.15,0,0.4999999999980405,0.175,0.173,0.3249999999980405
0.6,0.18,0.15,0,0.7369924066893128,0.256,0.255,0.48099240668931276
0.7,0.21,0.15,0,1.0190083083734907,0.353,0.351,0.6660083083734907
0.8,0.24,0.15,0,1.3450182536088444,0.465,0.463,0.8800182536088443
0.9,0.27,0.15,0,1.7141271193054424,0.591,0.589,1.1231271193054424
1.0,0.3,0.15,0,2.125630792867881,0.732,0.729,1.3936307928678808
