x_over_a,x_m,y_m,z_m,comsol_w_mm,qian_present_w_mm,qian_comsol_w_mm,delta_vs_qian_present_mm
0.0,0.0,0.15,0,0.0,0.0,0.0,0.0
0.1,0.03,0.15,0,0.06004444188743904,0.0055,0.00532,0.054544441887439045
0.2,0.06,0.15,0,0.2717034191464136,0.0243,0.0239,0.24740341914641362
0.3,0.09,0.15,0,0.6605807841949665,0.0584,0.0578,0.6021807841949665
0.4,0.12,0.15,0,1.2364495262118853,0.109,0.108,1.1274495262118853
0.5,0.15,0.15,0,2.0000000002463025,0.175,0.173,1.8250000002463025
0.6,0.18,0.15,0,2.9479696271028915,0.256,0.255,2.6919696271028917
0.7,0.21,0.15,0,4.076033233937494,0.353,0.351,3.7230332339374943
0.8,0.24,0.15,0,5.380073014981048,0.465,0.463,4.915073014981048
0.9,0.27,0.15,0,6.856508477871645,0.591,0.589,6.265508477871645
1.0,0.3,0.15,0,8.502523172226283,0.732,0.729,7.770523172226283
