fg_mode,load_case,w_abs_mean_mm,w_abs_min_mm,w_abs_max_mm,theta_span_mean_K,mean_cfcf_over_cfff
U,elastic,0.1146002330422246,0.073973346256371,0.176420090478279,0.03897133570632294,0.05469759454724941
U,electro,0.0035215362860346196,0.0009976497646953,0.0049034768923222,0.05488700134483918,0.09255843434250403
U,magneto,0.06836354288556565,0.0125179769207018,0.127453527246681,1.1911254386900385,0.09255843434272057
X,elastic,0.09568945844064952,0.0725209833296959,0.125786681194819,0.035085892348969076,0.054619586758892
X,electro,0.0032925153949965404,0.0008944781897044,0.0047917982018015,0.048342232849095564,0.10251514004338473
X,magneto,0.06476021034961577,0.0069526745519401,0.128355104228423,1.1207445259578557,0.10251514004378277
