case_id,fg_mode,vf0,load_case,input_file,w_center_mm,theta_mean_K,theta_min_K,theta_max_K,theta_span_K,magnetoelectric_efficiency,load_scale,volt,magnetic,status,message,output_mat,w_abs_mm,cfff_w_abs_mm,cfff_theta_span_K,cfff_me_efficiency,w_abs_cfcf_over_cfff,theta_cfcf_over_cfff,me_cfcf_over_cfff
CFCF_U_Vf70_electro,U,0.7,electro,cases/cfcf/Thermal_CFCF_U_Vf0.7-30x30-10layer.txt,0.0049034768923222,-2.63677968348475e-17,-0.0357876596108349,0.0357876596108349,0.0715753192216698,,0,300,0,ok,,G:\fg-meet-workbench\output\static_electro_CFCF_U_Vf70_electro.mat,0.0049034768923222,0.0610890543438299,0.243428177419954,,0.08026768371177871,0.29403054313712623,
CFCF_U_Vf70_magneto,U,0.7,magneto,cases/cfcf/Thermal_CFCF_U_Vf0.7-30x30-10layer.txt,0.0125179769207018,-6.938893903907231e-17,-0.0913615189573604,0.0913615189573603,0.182723037914721,0.141175600549814,0,0,200,ok,,G:\fg-meet-workbench\output\static_magneto_CFCF_U_Vf70_magneto.mat,0.0125179769207018,0.155952885901855,0.621442371122425,0.480139236691404,0.08026768371942583,0.2940305431454469,0.2940305431454473
CFCF_U_Vf90_elastic,U,0.9,elastic,cases/cfcf/Thermal_CFCF_U_Vf0.9-30x30-10layer.txt,-0.176420090478279,9.71445146547012e-18,-0.0226908270618577,0.0226908270618577,0.0453816541237153,,-15000,0,0,ok,,G:\fg-meet-workbench\output\static_elastic_CFCF_U_Vf90_elastic.mat,0.176420090478279,3.20991999537892,2.88084200820709,,0.05496089956517848,0.015752913208856897,
CFCF_U_Vf90_electro,U,0.9,electro,cases/cfcf/Thermal_CFCF_U_Vf0.9-30x30-10layer.txt,0.0047850187960611,1.17961196366423e-17,-0.0377135759117246,0.0377135759117246,0.0754271518234492,,0,300,0,ok,,G:\fg-meet-workbench\output\static_electro_CFCF_U_Vf90_electro.mat,0.0047850187960611,0.0782418831995812,0.26968680989294,,0.06115674368234931,0.27968424504480655,
CFCF_U_Vf90_magneto,U,0.9,magneto,cases/cfcf/Thermal_CFCF_U_Vf0.9-30x30-10layer.txt,0.0722033119748113,1.66533453693773e-16,-0.569077197666017,0.569077197666018,1.13815439533203,0.804083377900966,0,0,200,ok,,G:\fg-meet-workbench\output\static_magneto_CFCF_U_Vf90_magneto.mat,0.0722033119748113,1.18062714967801,4.06942620297376,2.87496844086013,0.06115674368025769,0.2796842450417989,0.2796842450417999
CFCF_X_Vf10_elastic,X,0.1,elastic,cases/cfcf/Thermal_CFCF_X_Vf0.1-30x30-10layer.txt,-0.0725209833296959,6.24500451351651e-18,-0.0198433275668526,0.0198433275668526,0.0396866551337051,,-15000,0,0,ok,,G:\fg-meet-workbench\output\static_elastic_CFCF_X_Vf10_elastic.mat,0.0725209833296959,1.33031584008413,2.32070992187963,,0.054514109465245215,0.017101083922441022,
CFCF_X_Vf10_electro,X,0.1,electro,cases/cfcf/Thermal_CFCF_X_Vf0.1-30x30-10layer.txt,0.0008944781897044,3.46944695195361e-18,-0.0091078458359068,0.0091078458359068,0.0182156916718137,,0,300,0,ok,,G:\fg-meet-workbench\output\static_electro_CFCF_X_Vf10_electro.mat,0.0008944781897044,0.0075011536178611,0.0571838813000839,,0.11924541680822875,0.3185459128984827,
CFCF_X_Vf10_magneto,X,0.1,magneto,cases/cfcf/Thermal_CFCF_X_Vf0.1-30x30-10layer.txt,-0.128355104228423,-5.10702591327572e-16,-1.30695025884357,1.30695025884357,2.61390051768714,1.2670404060019,0,0,200,ok,,G:\fg-meet-workbench\output\static_magneto_CFCF_X_Vf10_magneto.mat,0.128355104228423,1.07639444483733,8.20572611929837,3.97757545988619,0.11924541681169737,0.3185459129009586,0.31854591290095946
CFCF_X_Vf30_elastic,X,0.3,elastic,cases/cfcf/Thermal_CFCF_X_Vf0.3-30x30-10layer.txt,-0.0813664395088809,-6.24500451351651e-18,-0.017302654085522,0.017302654085522,0.0346053081710439,,-15000,0,0,ok,,G:\fg-meet-workbench\output\static_elastic_CFCF_X_Vf30_elastic.mat,0.0813664395088809,1.49119362363557,2.04929181758298,,0.05456463749523508,0.01688647164553599,
CFCF_X_Vf30_electro,X,0.3,electro,cases/cfcf/Thermal_CFCF_X_Vf0.3-30x30-10layer.txt,0.002488963892635,-1.4571677198205202e-17,-0.0206534694236927,0.0206534694236926,0.0413069388473853,,0,300,0,ok,,G:\fg-meet-workbench\output\static_electro_CFCF_X_Vf30_electro.mat,0.002488963892635,0.0222086564951096,0.131603268141568,,0.11207179025813993,0.3138747193037082,
