case_id,fg_mode,vf0,e0,porosity_name,porosity_mode,load_case,input_file,w_center_mm,theta_mean_K,theta_min_K,theta_max_K,theta_span_K,magnetoelectric_efficiency,load_scale,volt,magnetic,status,message,output_mat,w_abs_mm,w_abs_baseline_mm,theta_span_baseline_K,me_eff_baseline,w_abs_ratio,theta_span_ratio,me_eff_ratio
U_Vf90_e30_LogUneven_magneto,U,0.9,0.3,LogUneven,3,magneto,cases/porous/Porous_CFFF_U_Vf0.9_e30_LogUneven-30x30-10layer.txt,-1.06928964781754,-1.99840144432528e-15,-1.89839260315222,1.89839260315222,3.79678520630444,2.59864972088742,0,0,200,ok,,G:\fg-meet-workbench\output\static_magneto_U_Vf90_e30_LogUneven_magneto.mat,1.06928964781754,1.18062714967801,4.06942620297376,2.87496844086013,0.9056963056534529,0.933002594697482,0.903888085849721
U_Vf10_e40_Even_elastic,U,0.1,0.4,Even,1,elastic,cases/porous/Porous_CFFF_U_Vf0.1_e40_Even-30x30-10layer.txt,-2.34599845124724,-4.529709940470641e-15,-2.1279054951134,2.12790549511339,4.25581099022678,,-15000,0,0,ok,,G:\fg-meet-workbench\output\static_elastic_U_Vf10_e40_Even_elastic.mat,2.34599845124724,1.35667112293398,2.32953949939677,,1.7292315076138047,1.826889387936463,
U_Vf10_e40_Even_electro,U,0.1,0.4,Even,1,electro,cases/porous/Porous_CFFF_U_Vf0.1_e40_Even-30x30-10layer.txt,-0.0045801030410777,-1.76941794549634e-17,-0.0182705037780398,0.0182705037780398,0.0365410075560796,,0,300,0,ok,,G:\fg-meet-workbench\output\static_electro_U_Vf10_e40_Even_electro.mat,0.0045801030410777,0.0084504467203211,0.0632699024410006,,0.541995375234277,0.5775417085580971,
U_Vf10_e40_Even_magneto,U,0.1,0.4,Even,1,magneto,cases/porous/Porous_CFFF_U_Vf0.1_e40_Even-30x30-10layer.txt,1.15400417747603,4.17443857259059e-15,-4.60344177745775,4.60344177745776,9.20688355491551,4.8291503708824,0,0,200,ok,,G:\fg-meet-workbench\output\static_magneto_U_Vf10_e40_Even_magneto.mat,1.15400417747603,1.07957650011938,8.08296911403158,5.40692244063206,1.0689415500878536,1.1390472269568468,0.8931421569120714
U_Vf30_e40_Even_elastic,U,0.3,0.4,Even,1,elastic,cases/porous/Porous_CFFF_U_Vf0.3_e40_Even-30x30-10layer.txt,-2.76210577898984,-1.7541523789077502e-15,-1.94260218377096,1.94260218377096,3.88520436754191,,-15000,0,0,ok,,G:\fg-meet-workbench\output\static_elastic_U_Vf30_e40_Even_elastic.mat,2.76210577898984,1.59071475196702,2.11829630775337,,1.7363928860119773,1.8341175185555103,
U_Vf30_e40_Even_electro,U,0.3,0.4,Even,1,electro,cases/porous/Porous_CFFF_U_Vf0.3_e40_Even-30x30-10layer.txt,-0.013927076396104,5.55111512312578e-18,-0.0422547594953513,0.0422547594953513,0.0845095189907026,,0,300,0,ok,,G:\fg-meet-workbench\output\static_electro_U_Vf30_e40_Even_electro.mat,0.013927076396104,0.0257671886411594,0.146772043618161,,0.54049654349398,0.5757875744413612,
U_Vf30_e40_Even_magneto,U,0.3,0.4,Even,1,magneto,cases/porous/Porous_CFFF_U_Vf0.3_e40_Even-30x30-10layer.txt,0.87783601898317,-2.2204460492503094e-16,-2.66335509353646,2.66335509353646,5.32671018707291,3.02479109154103,0,0,200,ok,,G:\fg-meet-workbench\output\static_magneto_U_Vf30_e40_Even_magneto.mat,0.87783601898317,0.817113584188816,4.65434674647786,3.55667607184001,1.074313334118213,1.1444592500771147,0.8504544778451486
U_Vf50_e40_Even_elastic,U,0.5,0.4,Even,1,elastic,cases/porous/Porous_CFFF_U_Vf0.5_e40_Even-30x30-10layer.txt,-3.33327535449454,7.238654120556021e-15,-1.97118071106584,1.97118071106586,3.9423614221317,,-15000,0,0,ok,,G:\fg-meet-workbench\output\static_elastic_U_Vf50_e40_Even_elastic.mat,3.33327535449454,1.9131032144379,2.14288722562661,,1.7423395294821606,1.8397428362003039,
U_Vf50_e40_Even_electro,U,0.5,0.4,Even,1,electro,cases/porous/Porous_CFFF_U_Vf0.5_e40_Even-30x30-10layer.txt,-0.0233768927093619,1.2281842209915799e-16,-0.0581606513582316,0.0581606513582319,0.116321302716464,,0,300,0,ok,,G:\fg-meet-workbench\output\static_electro_U_Vf50_e40_Even_electro.mat,0.0233768927093619,0.0433953642985694,0.202825561024252,,0.5386956207700867,0.5735041585934791,
U_Vf50_e40_Even_magneto,U,0.5,0.4,Even,1,magneto,cases/porous/Porous_CFFF_U_Vf0.5_e40_Even-30x30-10layer.txt,0.46901182147731,-2.44249065417534e-15,-1.1668801910671,1.16688019106709,2.33376038213419,1.34082547182497,0,0,200,ok,,G:\fg-meet-workbench\output\static_magneto_U_Vf50_e40_Even_magneto.mat,0.46901182147731,0.434937990959423,2.03285635346628,1.61118252504524,1.0783418124563553,1.148020310512757,0.8321996117648565
