time_s,w_center_mm,theta_span_K
0,0,0
0.0001,-0.00141302718595249,0.000119494643010145
0.0002,-0.00714848901595661,0.000596645493529424
0.0003,-0.0190362605236789,0.00163628406289332
0.0004,-0.0376647111220107,0.00355569982797303
0.0005,-0.0625972166119311,0.00600385636202609
0.0006,-0.0919915533928746,0.00514482099981508
0.0007,-0.124425094972578,0.00579102349111962
0.0008,-0.159640256068218,0.0257660301032499
0.0009,-0.197540503779232,0.039933098589654
0.001,-0.238107934560057,0.0372125784895624
0.0011,-0.280751881363193,0.0216805771223123
0.0012,-0.323748734323843,0.00480353889703821
0.0013,-0.365793841363228,0.0458289868454906
0.0014,-0.406980493938409,0.0987259851288617
0.0015,-0.447979303845433,0.162370981415843
0.0016,-0.489030901187168,0.236417194941336
0.0017,-0.530003738915177,0.315264969924352
0.0018,-0.570468291959566,0.395503628143802
0.0019,-0.61015619748289,0.473243581642674
0.002,-0.65021176863877,0.549611945426551
0.0021,-0.692352424224893,0.635630555628531
0.0022,-0.737437142191834,0.736414587052716
0.0023,-0.785647459724763,0.845278436959999
0.0024,-0.83670401859764,0.951632371628613
0.0025,-0.890331722912119,1.05461666536676
0.0026,-0.947349078271819,1.15782297810853
0.0027,-1.00919488225645,1.25616414666488
0.0028,-1.07618685662894,1.34602019236611
0.0029,-1.14746260793626,1.42833045208432
0.003,-1.22240840248416,1.50266790341657
0.0031,-1.30091968403325,1.5698375340445
0.0032,-1.38316052080608,1.63820830555605
0.0033,-1.46971625326836,1.71649828365346
0.0034,-1.56025465573052,1.80591022782985
0.0035,-1.65319443748107,1.90281844905566
0.0036,-1.74719885226316,1.99761032968459
0.0037,-1.84155294092609,2.08887476475702
0.0038,-1.93602736706722,2.18527200824011
0.0039,-2.03069570440624,2.2854672841991
0.004,-2.12529485760842,2.38278987970354
0.0041,-2.21873704690269,2.48004789229283
0.0042,-2.31001092556869,2.58188702850184
0.0043,-2.3994759554633,2.68927382857299
0.0044,-2.48784625084815,2.80530906964112
0.0045,-2.57517929818626,2.93278349521284
0.0046,-2.66145469709382,3.06972913468804
0.0047,-2.74628004137819,3.20560389390667
0.0048,-2.82894108799478,3.33209335611491
0.0049,-2.90961199951686,3.45067273241668
0.005,-2.98916216932961,3.56515946249186
0.0051,-3.068133965443,3.67833670522615
0.0052,-3.14668797853654,3.78695809166727
0.0053,-3.22467200460957,3.8884584606037
0.0054,-3.30177517772832,3.99166283941348
0.0055,-3.3783957604463,4.10206138153235
0.0056,-3.45573539293116,4.21525939599205
0.0057,-3.53412378781539,4.33104823284168
0.0058,-3.61284045716649,4.4478259385903
0.0059,-3.69141354787891,4.55641128990113
0.006,-3.76958773378892,4.65180491864464
0.0061,-3.84741810389478,4.73999949480917
0.0062,-3.92533863728011,4.82740760035077
0.0063,-4.00352989112729,4.91543316456882
0.0064,-4.08147046532629,5.00239082061017
0.0065,-4.15847527420386,5.08620204948271
0.0066,-4.23440461838677,5.17310879886826
0.0067,-4.30921146553981,5.26747093904675
0.0068,-4.38295199136944,5.36257186484815
0.00690000000000001,-4.45556725723399,5.45089139904626
0.00700000000000001,-4.52600503260026,5.52910911301026
0.00710000000000001,-4.59332279203448,5.59688645089443
0.00720000000000001,-4.65766284676526,5.65227779243912
0.00730000000000001,-4.71894038032393,5.69820155722133
0.00740000000000001,-4.77666337540245,5.74614775489958
0.00750000000000001,-4.83067466910498,5.79673433289598
0.00760000000000001,-4.88070671677374,5.84502783537387
0.00770000000000001,-4.9262525914566,5.89436573756071
0.00780000000000001,-4.96707937491449,5.94822527211016
0.00790000000000001,-5.00334483154557,6.00658880307548
0.00800000000000001,-5.03509531222988,6.06516339266159
0.00810000000000001,-5.06235710302138,6.11517711288142
0.00820000000000001,-5.08532318735629,6.15480780413851
0.00830000000000001,-5.10396501782593,6.19061067653974
0.0084,-5.1186254130085,6.22397997180828
0.0085,-5.13025764384883,6.25588754058873
0.0086,-5.13942879253257,6.29268037142353
0.0087,-5.14625773389989,6.33550447515732
0.0088,-5.15115173028559,6.37773704174272
0.0089,-5.15462446758854,6.41535053276425
0.009,-5.15678223792515,6.45089267733833
0.0091,-5.15794611240763,6.48266659435556
0.0092,-5.15859698456997,6.50164239726304
0.0093,-5.15867405147421,6.50127609770454
0.0094,-5.15818026262567,6.48405136283878
0.0095,-5.15724554669182,6.45724470953744
0.0096,-5.15565975732217,6.42534187789835
