x,y
0.0,0.0
0.0127,0.04761730136471474
0.0254,0.14928495115762258
0.038099999999999995,0.2778524627182532
0.0508,0.4164182747585493
0.0635,0.5505358127824631
0.07619999999999999,0.6707655073931023
0.08889999999999999,0.770141404691911
0.1016,0.8438637431777387
0.1143,0.8893555171633412
0.127,0.9045131486764834
0.1397,0.8893555171633474
0.1524,0.8438637431777468
0.16510000000000002,0.7701414046919198
0.1778,0.6707655073931102
0.1905,0.5505358127824707
0.2032,0.41641827475855564
0.2159,0.2778524627182572
0.2286,0.14928495115762488
0.24130000000000001,0.04761730136471541
0.254,0.0
