x,y
0.0,0.0
0.01,-3.4845899195744366e-06
0.02,-1.4842708883258174e-05
0.03,-3.5463228686004685e-05
0.04,-6.610146313671679e-05
0.05,-0.00010747883379363345
0.06,-0.0001598991607407193
0.07,-0.00022359298573208813
0.08,-0.0002986100334092802
0.09,-0.00038491834755736737
0.1,-0.00048245657290523636
0.11000000000000001,-0.0005910841305565685
0.12000000000000001,-0.0007107081305362646
0.13,-0.0008411646290832804
0.14,-0.000982363652138557
0.15000000000000002,-0.0011341540762972203
0.16,-0.0012964581539761388
0.17,-0.00146914632414425
0.18000000000000002,-0.0016521480974187289
0.19,-0.001845349307393705
0.2,-0.002048669976799043
