x,y
0.0,0.0
0.01,-1.136003156055439e-06
0.02,-4.875801444250969e-06
0.03,-1.172715598687589e-05
0.04,-2.198101954854543e-05
0.05,-3.591651354803954e-05
0.06,-5.366336860419529e-05
0.07,-7.532569916796475e-05
0.08,-0.0001009377842078487
0.09,-0.00013050487053981147
0.1,-0.00016401604542902907
0.11000000000000001,-0.00020143198811125264
0.12000000000000001,-0.00024272621764168104
0.13,-0.00028784650108186233
0.14,-0.00033676454731863706
0.15000000000000002,-0.0003894299464369567
0.16,-0.00044581756124043015
0.17,-0.0005058835543186095
0.18000000000000002,-0.0005696056307363601
0.19,-0.0006369457974233724
0.2,-0.0007078804708583028
