x,y
0.0,0.0
0.05,0.07130695842082288
0.1,0.1298358116357801
0.15000000000000002,0.19076807509341226
0.2,0.2522399067058861
0.25,0.3137396089538515
0.30000000000000004,0.37523953595526194
0.35000000000000003,0.4367395574109954
0.4,0.49823952391774234
0.45,0.5597395440952513
0.5,0.6212395453584003
0.55,0.6827395493535637
0.6,0.744239550217892
0.6499999999999999,0.8057395509139998
0.7,0.8672395511382358
0.75,0.928739551264875
0.8,0.9902395513134284
0.85,1.0517395513399284
0.9,1.1132395513373583
0.95,1.1747395514011953
1.0,1.2362395511349753
