x,y
0.0,0.0
0.015,1.4398610244466706e-05
0.03,2.452974168553778e-05
0.045,3.059609707193398e-05
0.06,3.2997680071721996e-05
0.075,3.224373043105656e-05
0.09,2.8826378526562784e-05
0.105,2.337606831247684e-05
0.12,1.638745909750436e-05
0.135,8.439024617254041e-06
0.15,3.684296991846634e-19
0.16499999999999998,-8.439024617253365e-06
0.18,-1.6387459097503724e-05
0.195,-2.3376068312476367e-05
0.21,-2.8826378526562445e-05
0.22499999999999998,-3.224373043105635e-05
0.24,-3.299768007172187e-05
0.255,-3.0596097071933916e-05
0.27,-2.4529741685537807e-05
0.285,-1.439861024446676e-05
0.3,0.0
