x,y
0.0,0.0
0.015,2.116019090356475e-05
0.03,4.1224318795876535e-05
0.045,6.012416033247862e-05
0.06,7.79195748467366e-05
0.075,9.473049401515879e-05
0.09,0.0001107282476731356
0.105,0.000126143209442497
0.12,0.00014119356661001402
0.135,0.00015612467161544528
0.15,0.00017113634777471404
0.16499999999999998,0.00018643261772730073
0.18,0.00020215357594502643
0.195,0.00021843181076474296
0.21,0.00023530859345889448
0.22499999999999998,0.00025280559880345386
0.24,0.0002708283665110059
0.255,0.00028923505592860814
0.27,0.0003077703541238626
0.285,0.0003261189311600989
0.3,0.0003439330953629456
