x,y
0.0,0.0
0.01,-3.2914864287199967e-06
0.02,-1.401348491681591e-05
0.03,-3.346794436419234e-05
0.04,-6.236022393942701e-05
0.05,-0.0001013638104065453
0.06,-0.00015076013052761866
0.07,-0.00021076170629443918
0.08,-0.0002814122345952615
0.09,-0.0003626786932095552
0.1,-0.00045450148083030987
0.11000000000000001,-0.0005567466301483948
0.12000000000000001,-0.0006693257102910634
0.13,-0.0007920836428186717
0.14,-0.0009249352511640674
0.15000000000000002,-0.0010677379935515173
0.16,-0.0012204183930196555
0.17,-0.001382854358019234
0.18000000000000002,-0.001554979181355965
0.19,-0.001736685163478779
0.2,-0.001927896308287599
