mode,load_case,discarded_20_actual_radius_m,declared_radius_m,wrong_radius_20_w_mm,radius_fixed_20_w_mm,legacy_30_w_mm,canonical_30_w_mm,apparent_gap_wrong_radius_pct,gap_after_radius_fix_mixed_material_pct,gap_after_material_canonicalization_pct,gap_removed_by_geometry_fix_pct_point,gap_removed_by_material_canonicalization_pct_point
U,elastic,0.6,0.4,-2.02391332239515,-1.96027888869544,-1.95949869888003,-1.96016404595863,3.287301162891138,0.039815786346578556,0.005858832940377537,3.2474853765445597,0.03395695340620102
U,electro,0.6,0.4,-0.0620323631907661,-0.0629536071384859,-0.0629667075868834,-0.0629531573489804,1.4838704958935087,0.020805357147545445,0.0007144828384203581,1.4630651387459632,0.020090874309125088
U,magneto,0.6,0.4,0.207243944432205,0.210321728682308,0.21036549596817,0.210320225972978,1.483870499579128,0.02080535387258716,0.000714486361473876,1.463065145706541,0.020090867511113285
X,elastic,0.6,0.4,-1.72087520647939,-1.66717211609997,-1.66709368074891,-1.66709368074891,3.2260649987179826,0.004704915624457025,0.004704915624457025,3.2213600830935256,0.0
X,electro,0.6,0.4,-0.0509961547034719,-0.0517024038346666,-0.0517016131644315,-0.0517016131644315,1.3644805602408576,0.0015292950968268588,0.0015292950968268588,1.3629512651440308,0.0
X,magneto,0.6,0.4,0.36690296312348,0.371984226608921,0.371978537971279,0.371978537971279,1.3644805626369005,0.0015292918975980485,0.0015292918975980485,1.3629512707393026,0.0
