layer,E1,E2,v12,v23,G12,G13,G23,d31,d32,angle,hE,q31,q32,g33,k33,r33,A1,A2,PyroE,PyroM,Cv,HC,Density,zC1,zC2
1,108400000000.0,108400000000.0,0.26786666666666664,0.0,36040000000.0,36040000000.0,36040000000.0,-3.602666666666667e-11,-3.602666666666667e-11,0.0,0.0006,110.31333333333333,110.31333333333333,6.147733333333333e-09,1.1700000000000002e-08,0.00025957333333333324,1810666.666666667,1810666.666666667,0.00016613333333333332,0.003933333333333333,305.48213333333337,1.0,4440.0,-0.003,-0.0024000000000000002
2,108400000000.0,108400000000.0,0.26786666666666664,0.0,36040000000.0,36040000000.0,36040000000.0,-3.602666666666667e-11,-3.602666666666667e-11,0.0,0.0006,110.31333333333333,110.31333333333333,6.147733333333333e-09,1.1700000000000002e-08,0.00025957333333333324,1810666.666666667,1810666.666666667,0.00016613333333333332,0.003933333333333333,305.48213333333337,1.0,4440.0,-0.0024000000000000002,-0.0018
3,108400000000.0,108400000000.0,0.26786666666666664,0.0,36040000000.0,36040000000.0,36040000000.0,-3.602666666666667e-11,-3.602666666666667e-11,0.0,0.0006,110.31333333333333,110.31333333333333,6.147733333333333e-09,1.1700000000000002e-08,0.00025957333333333324,1810666.666666667,1810666.666666667,0.00016613333333333332,0.003933333333333333,305.48213333333337,1.0,4440.0,-0.0018,-0.0012
4,108400000000.0,108400000000.0,0.26786666666666664,0.0,36040000000.0,36040000000.0,36040000000.0,-3.602666666666667e-11,-3.602666666666667e-11,0.0,0.0006,110.31333333333333,110.31333333333333,6.147733333333333e-09,1.1700000000000002e-08,0.00025957333333333324,1810666.666666667,1810666.666666667,0.00016613333333333332,0.003933333333333333,305.48213333333337,1.0,4440.0,-0.0012,-0.0005999999999999998
5,108400000000.0,108400000000.0,0.26786666666666664,0.0,36040000000.0,36040000000.0,36040000000.0,-3.602666666666667e-11,-3.602666666666667e-11,0.0,0.0006,110.31333333333333,110.31333333333333,6.147733333333333e-09,1.1700000000000002e-08,0.00025957333333333324,1810666.666666667,1810666.666666667,0.00016613333333333332,0.003933333333333333,305.48213333333337,1.0,4440.0,-0.0005999999999999998,0.0
6,108400000000.0,108400000000.0,0.26786666666666664,0.0,36040000000.0,36040000000.0,36040000000.0,-3.602666666666667e-11,-3.602666666666667e-11,0.0,0.0006,110.31333333333333,110.31333333333333,6.147733333333333e-09,1.1700000000000002e-08,0.00025957333333333324,1810666.666666667,1810666.666666667,0.00016613333333333332,0.003933333333333333,305.48213333333337,1.0,4440.0,0.0,0.0006000000000000003
7,108400000000.0,108400000000.0,0.26786666666666664,0.0,36040000000.0,36040000000.0,36040000000.0,-3.602666666666667e-11,-3.602666666666667e-11,0.0,0.0006,110.31333333333333,110.31333333333333,6.147733333333333e-09,1.1700000000000002e-08,0.00025957333333333324,1810666.666666667,1810666.666666667,0.00016613333333333332,0.003933333333333333,305.48213333333337,1.0,4440.0,0.0006000000000000003,0.0012000000000000005
8,108400000000.0,108400000000.0,0.26786666666666664,0.0,36040000000.0,36040000000.0,36040000000.0,-3.602666666666667e-11,-3.602666666666667e-11,0.0,0.0006,110.31333333333333,110.31333333333333,6.147733333333333e-09,1.1700000000000002e-08,0.00025957333333333324,1810666.666666667,1810666.666666667,0.00016613333333333332,0.003933333333333333,305.48213333333337,1.0,4440.0,0.0012000000000000005,0.0018000000000000004
9,108400000000.0,108400000000.0,0.26786666666666664,0.0,36040000000.0,36040000000.0,36040000000.0,-3.602666666666667e-11,-3.602666666666667e-11,0.0,0.0006,110.31333333333333,110.31333333333333,6.147733333333333e-09,1.1700000000000002e-08,0.00025957333333333324,1810666.666666667,1810666.666666667,0.00016613333333333332,0.003933333333333333,305.48213333333337,1.0,4440.0,0.0018000000000000004,0.0024000000000000002
10,108400000000.0,108400000000.0,0.26786666666666664,0.0,36040000000.0,36040000000.0,36040000000.0,-3.602666666666667e-11,-3.602666666666667e-11,0.0,0.0006,110.31333333333333,110.31333333333333,6.147733333333333e-09,1.1700000000000002e-08,0.00025957333333333324,1810666.666666667,1810666.666666667,0.00016613333333333332,0.003933333333333333,305.48213333333337,1.0,4440.0,0.0024000000000000002,0.003
